"Adaptable","BestValue","CuttingEdge","Delightful","Exciting","Friendly","Generous","Helpful","Intuitive","Brand"
4,3,3,4,2,5,4,4,4,"Romeo"
4,4,3,3,5,4,4,3,3,"Romeo"
5,5,5,4,4,6,3,5,4,"Romeo"
5,5,3,5,3,3,4,3,3,"Tango"
5,2,3,3,3,4,4,4,3,"Sierra"
4,2,3,4,3,4,3,4,3,"Romeo"
4,3,3,5,3,4,2,2,4,"Romeo"
6,5,2,4,3,4,3,3,3,"Romeo"
5,4,5,4,4,4,5,5,4,"Papa"
6,5,6,5,4,5,3,4,4,"Romeo"
5,3,5,5,5,6,4,5,4,"Sierra"
4,3,3,3,3,5,3,3,5,"Papa"
4,3,3,4,4,5,5,5,3,"Sierra"
4,5,5,5,4,3,5,3,2,"Sierra"
5,5,4,4,4,2,3,3,4,"Sierra"
3,3,4,4,2,3,2,4,3,"Romeo"
3,3,5,5,4,5,4,3,4,"Romeo"
5,3,4,5,5,7,4,5,5,"Romeo"
5,4,5,6,5,4,4,5,4,"Sierra"
2,3,4,4,5,2,6,4,2,"Tango"
4,4,2,4,3,4,4,4,3,"Romeo"
4,4,3,3,3,5,2,5,5,"Papa"
3,3,5,4,4,3,4,3,2,"Sierra"
5,5,4,4,4,2,2,2,3,"Sierra"
4,3,5,3,4,4,4,3,4,"Romeo"
4,4,6,6,5,4,4,3,4,"Sierra"
4,4,4,4,5,3,4,4,4,"Sierra"
3,3,3,4,3,5,6,3,4,"Romeo"
4,4,4,4,4,5,1,4,2,"Sierra"
4,3,5,4,5,4,5,4,3,"Romeo"
4,4,3,3,3,4,3,3,2,"Sierra"
3,2,4,4,4,3,4,3,2,"Sierra"
5,4,3,4,4,6,5,4,5,"Papa"
6,6,3,4,4,5,4,4,5,"Sierra"
4,5,3,4,4,4,5,5,5,"Romeo"
4,2,5,5,3,3,3,5,4,"Sierra"
3,3,5,4,2,3,5,4,3,"Sierra"
3,2,2,2,4,5,3,4,4,"Sierra"
4,4,3,3,4,4,5,4,5,"Sierra"
4,5,3,3,6,6,3,5,4,"Sierra"
3,3,4,4,4,5,4,4,4,"Sierra"
6,4,5,4,3,5,5,5,5,"Romeo"
3,4,3,4,3,3,4,3,3,"Romeo"
4,2,4,5,4,4,4,4,5,"Romeo"
4,3,4,4,2,5,4,4,3,"Romeo"
5,4,4,3,6,4,5,6,4,"Tango"
5,4,4,3,4,4,5,5,4,"Romeo"
5,3,5,5,4,5,4,3,4,"Romeo"
4,4,4,3,2,4,4,4,3,"Sierra"
4,4,4,3,3,6,6,4,5,"Sierra"
5,4,1,3,3,6,4,4,5,"Papa"
5,5,4,5,4,4,4,4,5,"Romeo"
6,4,3,3,1,4,4,4,4,"Romeo"
4,4,6,5,4,3,4,3,4,"Tango"
3,4,4,6,3,4,5,3,2,"Sierra"
5,5,4,5,3,4,4,6,5,"Romeo"
4,3,4,4,5,5,5,5,3,"Romeo"
5,6,4,3,3,3,4,5,3,"Sierra"
4,3,4,5,4,5,4,5,4,"Romeo"
4,3,2,2,4,4,4,3,3,"Sierra"
3,4,4,4,2,4,4,2,3,"Romeo"
5,5,4,2,3,4,5,4,3,"Sierra"
4,1,5,5,5,3,4,2,3,"Romeo"
4,5,5,5,3,4,4,4,2,"Romeo"
4,4,3,5,4,2,4,3,3,"Sierra"
3,3,4,3,4,3,4,2,2,"Sierra"
4,4,3,4,5,6,5,4,6,"Papa"
4,5,5,6,5,6,3,5,5,"Romeo"
5,6,2,3,3,6,4,5,4,"Papa"
5,4,3,3,3,3,3,4,3,"Papa"
5,4,4,5,3,4,5,3,3,"Sierra"
5,5,3,3,5,4,5,5,3,"Sierra"
5,4,3,4,4,5,5,5,3,"Papa"
4,5,5,4,5,4,6,5,4,"Sierra"
7,4,4,3,4,5,4,4,5,"Papa"
3,3,4,3,3,4,4,2,4,"Sierra"
4,2,3,4,3,3,5,2,2,"Romeo"
5,5,5,5,3,4,3,3,3,"Papa"
4,4,4,4,5,4,5,2,5,"Romeo"
6,5,3,5,4,5,3,5,5,"Romeo"
5,5,4,4,4,4,3,4,4,"Papa"
3,3,5,5,5,3,6,2,3,"Tango"
4,3,6,5,3,5,4,4,4,"Romeo"
4,5,3,5,3,5,4,5,4,"Romeo"
5,3,4,4,4,4,5,2,3,"Romeo"
5,3,4,5,5,4,5,4,3,"Sierra"
4,2,4,4,6,4,5,3,5,"Romeo"
6,4,4,5,5,6,6,3,4,"Tango"
5,5,6,3,6,5,5,5,5,"Romeo"
4,5,2,3,3,5,4,3,3,"Romeo"
4,2,4,6,3,4,4,3,5,"Romeo"
5,4,4,4,5,5,3,5,4,"Romeo"
4,4,1,3,3,4,4,5,4,"Romeo"
4,3,3,4,3,4,4,4,2,"Romeo"
4,4,6,5,4,3,4,3,3,"Romeo"
3,4,3,2,4,3,3,3,4,"Romeo"
5,4,5,5,4,5,7,3,5,"Sierra"
5,4,5,6,4,4,5,4,4,"Papa"
5,4,4,5,4,5,5,5,6,"Sierra"
4,3,3,4,5,5,5,4,4,"Romeo"
4,5,3,5,3,5,3,4,4,"Sierra"
3,3,5,3,5,3,5,5,3,"Tango"
4,4,4,2,5,5,2,4,3,"Romeo"
6,4,4,4,3,4,3,6,5,"Sierra"
6,4,5,5,4,6,4,3,5,"Romeo"
3,5,6,4,4,2,5,5,2,"Sierra"
3,3,3,3,4,3,4,3,3,"Papa"
5,5,5,4,5,4,3,4,3,"Sierra"
3,2,6,5,3,4,4,4,5,"Papa"
4,4,4,5,2,6,2,3,4,"Papa"
3,3,3,4,6,4,3,1,3,"Tango"
3,5,2,3,1,3,3,3,3,"Romeo"
3,3,5,2,3,4,4,4,4,"Romeo"
5,4,4,4,4,3,4,3,4,"Romeo"
2,3,4,4,5,4,5,6,5,"Papa"
2,2,5,5,4,2,4,2,3,"Sierra"
4,5,4,3,3,5,5,4,6,"Papa"
5,5,2,2,2,4,2,3,4,"Papa"
5,4,5,4,6,5,4,4,2,"Tango"
4,2,2,2,4,4,4,3,3,"Sierra"
4,4,3,3,4,5,4,4,4,"Romeo"
3,2,4,5,3,3,4,4,4,"Romeo"
6,5,3,4,4,4,3,3,3,"Tango"
5,5,5,4,5,3,4,4,2,"Sierra"
5,4,5,6,5,4,6,5,3,"Romeo"
5,3,5,5,4,5,3,4,4,"Romeo"
5,4,3,6,5,4,4,3,4,"Romeo"
4,4,4,4,3,5,3,2,3,"Papa"
5,3,4,4,4,3,4,5,4,"Papa"
4,2,5,4,5,3,5,4,2,"Romeo"
4,4,4,4,4,5,6,4,4,"Sierra"
5,5,3,4,4,5,5,5,5,"Sierra"
4,5,5,4,4,5,4,5,5,"Sierra"
5,4,3,4,5,4,4,3,5,"Romeo"
6,4,5,3,4,4,4,6,4,"Romeo"
5,5,4,6,5,3,4,5,3,"Sierra"
3,3,4,3,4,4,4,5,4,"Romeo"
5,6,2,3,4,5,3,4,5,"Papa"
4,4,4,4,4,5,3,4,4,"Romeo"
4,4,5,5,5,4,5,4,3,"Romeo"
6,5,2,3,2,4,5,4,3,"Romeo"
3,4,4,3,4,4,2,3,2,"Romeo"
4,2,4,4,3,4,5,4,5,"Romeo"
5,4,6,6,5,4,6,4,4,"Tango"
6,5,6,4,5,5,4,4,5,"Romeo"
5,5,4,4,4,4,2,3,3,"Sierra"
5,4,2,2,3,3,4,3,3,"Romeo"
6,5,4,4,4,5,4,7,6,"Papa"
3,4,3,4,5,4,5,5,4,"Sierra"
4,5,3,4,4,5,3,3,3,"Sierra"
5,5,5,4,3,5,3,5,4,"Romeo"
4,3,6,3,4,6,5,5,5,"Romeo"
5,3,2,5,4,5,3,4,4,"Romeo"
4,5,4,3,4,3,6,2,3,"Papa"
4,4,4,3,3,4,4,3,4,"Romeo"
4,4,3,2,3,5,3,5,3,"Papa"
3,4,5,4,6,5,5,3,4,"Sierra"
4,5,5,5,4,4,5,4,4,"Sierra"
6,5,5,4,4,4,5,6,4,"Romeo"
5,5,2,2,3,4,3,4,3,"Papa"
5,5,6,5,5,2,3,4,3,"Tango"
4,4,6,6,5,4,4,4,4,"Sierra"
5,4,4,3,4,5,3,6,4,"Romeo"
5,3,4,4,4,3,5,3,4,"Romeo"
4,2,5,5,4,6,4,3,4,"Romeo"
5,5,2,3,4,4,2,5,4,"Romeo"
4,4,5,6,5,5,5,3,3,"Tango"
2,2,3,2,2,3,3,4,4,"Papa"
3,5,4,3,3,4,2,2,3,"Sierra"
5,4,5,4,4,6,5,4,3,"Sierra"
4,5,4,3,4,4,3,4,3,"Romeo"
4,4,4,3,5,4,4,6,3,"Romeo"
5,4,3,4,4,4,5,5,4,"Papa"
3,5,4,4,4,4,4,4,3,"Romeo"
6,5,4,5,4,4,4,6,4,"Romeo"
4,3,5,5,4,3,5,3,4,"Romeo"
5,3,4,5,4,5,5,4,4,"Romeo"
4,3,3,4,4,4,5,3,4,"Sierra"
4,3,3,3,3,5,4,3,3,"Papa"
4,5,3,5,5,4,3,3,3,"Sierra"
2,4,3,4,3,4,3,2,3,"Papa"
3,1,7,3,4,3,6,3,3,"Tango"
3,3,5,4,4,7,5,3,5,"Romeo"
4,3,4,5,5,4,4,5,4,"Papa"
5,4,2,4,4,5,5,3,3,"Papa"
2,2,5,5,4,3,5,4,4,"Romeo"
4,4,4,4,5,6,5,4,4,"Romeo"
4,5,4,5,4,4,4,3,3,"Papa"
6,4,4,4,3,4,4,5,4,"Papa"
2,3,4,6,5,3,5,2,3,"Sierra"
4,4,4,4,3,4,4,4,3,"Sierra"
3,3,5,5,4,4,6,4,4,"Sierra"
4,4,3,4,4,5,5,3,4,"Sierra"
5,5,4,3,3,5,3,3,2,"Romeo"
6,6,5,4,5,6,5,4,4,"Sierra"
3,3,5,5,5,3,5,3,2,"Sierra"
6,5,2,4,3,4,4,4,4,"Romeo"
5,3,4,5,4,5,4,3,4,"Romeo"
3,3,3,5,3,4,5,3,3,"Romeo"
3,5,4,4,3,5,3,3,4,"Tango"
4,5,3,4,6,5,4,4,4,"Romeo"
6,2,5,5,3,5,3,5,4,"Romeo"
4,4,5,4,5,3,4,2,3,"Sierra"
4,4,5,3,4,4,5,4,3,"Tango"
5,3,5,5,5,4,5,5,4,"Sierra"
4,4,3,3,1,4,3,3,2,"Romeo"
6,6,5,5,5,5,4,5,5,"Romeo"
2,2,4,6,4,2,4,5,4,"Sierra"
4,3,5,5,6,3,5,2,3,"Tango"
4,5,4,5,4,5,5,4,2,"Sierra"
4,3,3,4,3,3,4,5,4,"Sierra"
2,2,5,5,4,6,4,4,5,"Romeo"
5,3,6,4,5,5,5,5,4,"Sierra"
3,3,3,6,4,3,6,4,5,"Sierra"
4,3,3,6,4,5,3,5,6,"Papa"
6,6,3,3,4,5,4,5,4,"Sierra"
5,3,5,3,3,5,5,4,4,"Papa"
5,3,2,3,3,5,4,4,5,"Papa"
5,4,5,5,5,5,4,5,5,"Romeo"
3,4,3,2,3,5,3,4,4,"Papa"
4,5,4,4,3,4,4,2,3,"Romeo"
4,4,5,4,5,4,4,3,2,"Tango"
5,2,5,5,5,5,5,4,4,"Sierra"
4,5,4,4,4,5,4,5,4,"Romeo"
3,2,2,3,2,4,4,4,3,"Papa"
4,3,6,6,6,4,3,4,4,"Tango"
4,5,4,4,5,3,4,5,4,"Sierra"
3,4,5,4,3,5,5,3,2,"Sierra"
4,3,3,3,1,4,4,4,2,"Papa"
4,4,3,3,3,3,4,4,3,"Sierra"
4,4,3,4,2,5,3,4,5,"Romeo"
5,6,4,6,5,3,6,4,3,"Tango"
5,4,4,5,5,5,5,4,4,"Tango"
5,5,3,5,3,6,4,5,5,"Sierra"
4,2,3,4,5,4,6,4,4,"Sierra"
4,4,3,4,3,6,3,4,5,"Romeo"
4,5,4,4,4,2,6,4,4,"Papa"
4,4,5,3,3,4,4,3,3,"Romeo"
4,5,4,5,5,5,3,4,4,"Sierra"
4,6,4,5,4,4,5,5,3,"Romeo"
4,5,5,3,4,3,4,3,3,"Sierra"
5,4,5,3,3,4,3,6,5,"Papa"
4,3,4,4,3,4,5,5,5,"Romeo"
3,3,3,5,2,3,3,4,4,"Romeo"
5,4,4,7,4,4,5,3,3,"Sierra"
4,4,4,3,3,5,4,5,3,"Romeo"
4,4,3,3,4,3,5,3,4,"Romeo"
3,3,4,4,5,5,5,5,4,"Romeo"
4,4,5,4,3,3,5,2,4,"Sierra"
4,3,3,5,3,4,3,4,3,"Sierra"
4,3,4,3,3,2,3,3,4,"Sierra"
4,4,6,5,5,6,5,5,5,"Romeo"
3,4,5,5,3,5,4,6,5,"Romeo"
3,6,3,2,2,3,3,5,2,"Sierra"
3,4,5,5,5,4,4,4,3,"Sierra"
4,2,2,3,3,4,5,4,4,"Papa"
4,3,5,5,4,5,6,4,4,"Sierra"
4,5,5,5,6,4,6,3,3,"Sierra"
6,5,6,6,5,4,4,4,4,"Sierra"
4,4,5,3,4,5,4,5,4,"Sierra"
4,4,5,5,5,6,3,4,4,"Sierra"
4,3,4,4,4,4,5,4,4,"Romeo"
4,4,4,4,4,3,5,5,5,"Romeo"
5,3,3,4,3,4,5,5,5,"Papa"
5,5,5,4,5,4,5,4,3,"Tango"
3,5,4,5,3,4,5,4,3,"Romeo"
5,3,4,4,3,5,5,4,4,"Sierra"
4,3,4,3,2,4,2,5,4,"Romeo"
3,3,3,2,3,4,3,2,3,"Sierra"
5,4,3,5,5,5,4,5,5,"Romeo"
4,3,2,4,3,3,3,5,3,"Romeo"
5,5,4,4,4,5,3,4,5,"Romeo"
4,4,5,6,4,5,6,5,5,"Romeo"
4,5,3,4,3,3,4,3,5,"Sierra"
5,4,4,6,5,5,4,6,5,"Sierra"
5,5,5,4,4,4,4,4,4,"Sierra"
3,3,3,3,3,4,3,3,2,"Sierra"
6,5,4,3,4,5,3,4,3,"Sierra"
4,3,3,3,2,3,5,3,4,"Sierra"
6,4,3,3,3,4,4,3,3,"Romeo"
4,3,5,4,3,5,5,4,4,"Romeo"
6,4,5,4,4,4,4,4,4,"Romeo"
4,5,6,5,4,3,6,2,1,"Tango"
4,5,6,5,6,4,4,3,3,"Tango"
3,4,4,3,4,5,4,4,3,"Sierra"
4,4,7,4,5,5,6,5,4,"Sierra"
4,3,5,7,4,3,4,2,5,"Sierra"
3,2,5,3,5,3,3,5,4,"Romeo"
6,6,5,4,4,4,4,5,5,"Sierra"
5,4,2,2,4,4,5,4,5,"Romeo"
5,2,4,4,7,6,4,5,4,"Tango"
4,3,3,3,2,3,4,3,3,"Romeo"
5,5,3,6,3,3,5,4,3,"Sierra"
6,5,3,4,2,5,3,4,4,"Papa"
5,5,4,3,5,4,4,4,3,"Sierra"
3,4,5,3,5,4,4,5,3,"Sierra"
4,4,6,5,4,4,5,5,4,"Sierra"
3,4,4,3,4,1,3,3,3,"Sierra"
3,4,4,4,5,3,4,4,3,"Sierra"
2,3,4,3,5,5,5,3,2,"Sierra"
5,4,2,2,2,5,4,5,4,"Papa"
5,5,4,3,4,5,6,3,3,"Sierra"
5,4,3,6,3,3,3,3,3,"Sierra"
3,3,5,5,5,4,5,4,4,"Romeo"
6,5,5,3,3,3,4,2,3,"Sierra"
4,5,3,3,1,4,4,5,4,"Romeo"
4,4,5,4,5,5,4,5,6,"Sierra"
5,4,5,3,3,4,4,3,5,"Romeo"
4,4,4,4,4,5,5,4,4,"Sierra"
4,4,3,2,5,4,3,2,3,"Tango"
6,6,2,4,3,4,3,4,4,"Sierra"
6,3,4,2,4,3,4,3,2,"Sierra"
4,4,4,4,4,4,5,4,4,"Sierra"
4,5,5,2,4,3,6,3,2,"Sierra"
5,4,3,3,5,5,3,3,3,"Sierra"
3,4,4,4,4,4,3,2,2,"Tango"
3,2,4,5,5,4,4,3,4,"Sierra"
6,4,5,4,6,6,5,4,5,"Tango"
4,4,7,4,3,3,3,2,4,"Sierra"
5,5,2,3,2,4,3,4,4,"Papa"
4,2,4,5,3,4,5,3,4,"Papa"
4,4,5,4,4,5,2,2,4,"Romeo"
4,3,5,4,4,4,3,4,3,"Sierra"
4,2,4,4,3,4,5,4,3,"Sierra"
4,5,3,3,3,6,4,5,4,"Romeo"
5,5,3,4,4,6,5,6,5,"Romeo"
5,3,4,3,3,4,5,5,4,"Papa"
4,4,5,6,5,5,5,3,4,"Sierra"
3,3,4,5,4,5,4,5,4,"Romeo"
4,4,4,4,3,3,4,3,4,"Sierra"
3,5,4,5,4,4,4,4,2,"Romeo"
4,1,2,5,4,4,4,6,5,"Romeo"
4,4,3,3,3,3,3,4,3,"Papa"
4,4,4,5,3,5,4,5,4,"Romeo"
4,3,4,4,5,3,4,2,3,"Romeo"
5,5,6,5,6,4,5,1,2,"Tango"
3,2,4,5,4,5,5,4,3,"Sierra"
5,4,3,3,3,6,4,4,2,"Romeo"
4,4,3,2,4,3,4,4,3,"Papa"
5,4,4,6,3,5,3,5,4,"Romeo"
5,4,4,4,5,5,5,5,4,"Sierra"
4,5,5,5,3,2,5,3,3,"Romeo"
5,5,3,4,4,5,4,5,5,"Romeo"
5,4,5,4,5,6,5,4,4,"Sierra"
5,4,4,4,3,4,5,3,3,"Romeo"
5,5,3,4,4,3,4,5,4,"Papa"
4,5,5,5,5,4,5,3,2,"Tango"
4,3,4,3,5,3,4,3,4,"Sierra"
5,4,5,4,4,4,3,4,4,"Sierra"
2,3,4,6,2,3,5,2,2,"Romeo"
3,4,3,3,4,5,1,4,3,"Papa"
5,4,4,4,3,4,3,4,4,"Papa"
4,4,3,4,3,5,4,4,4,"Romeo"
4,4,3,4,4,5,4,4,4,"Sierra"
3,3,5,3,4,5,5,4,3,"Papa"
5,5,5,5,5,5,5,5,5,"Sierra"
4,4,5,3,4,5,4,3,6,"Romeo"
5,3,4,3,4,5,5,5,5,"Romeo"
4,2,5,5,3,4,3,5,4,"Tango"
5,4,4,3,4,4,3,5,4,"Romeo"
4,6,3,4,3,4,7,4,2,"Romeo"
5,4,2,2,3,3,3,3,4,"Romeo"
4,5,2,3,2,3,4,2,2,"Romeo"
3,3,4,5,6,3,5,4,4,"Romeo"
4,4,4,5,3,4,4,4,4,"Sierra"
4,4,3,4,4,5,4,1,4,"Romeo"
5,3,4,4,4,6,4,5,4,"Romeo"
4,2,3,4,5,3,4,5,3,"Papa"
3,2,3,4,4,4,5,5,4,"Papa"
5,5,3,3,2,6,3,3,5,"Romeo"
5,4,6,4,4,4,3,5,4,"Sierra"
5,5,2,3,3,5,3,6,4,"Papa"
5,4,3,3,3,5,4,6,5,"Papa"
6,4,5,4,4,4,3,4,3,"Romeo"
5,5,3,6,2,4,5,4,4,"Romeo"
5,3,4,3,3,5,3,3,5,"Papa"
5,5,5,4,4,4,3,4,4,"Papa"
5,3,3,4,2,4,4,5,4,"Papa"
6,4,5,4,4,5,5,4,2,"Sierra"
5,5,5,3,4,6,4,5,5,"Romeo"
5,5,4,4,4,3,5,2,2,"Romeo"
4,5,4,4,4,4,5,3,3,"Sierra"
4,3,3,6,3,3,3,3,4,"Sierra"
3,2,2,2,3,2,3,3,2,"Romeo"
3,3,5,5,4,3,4,3,3,"Sierra"
4,4,5,4,4,6,3,4,4,"Romeo"
5,3,3,2,2,5,4,5,5,"Papa"
4,2,3,4,3,6,5,4,3,"Sierra"
5,4,3,3,3,5,3,3,5,"Papa"
6,5,5,4,4,5,3,5,4,"Sierra"
6,5,3,4,3,6,4,5,4,"Sierra"
4,4,4,3,3,4,4,5,4,"Romeo"
4,3,6,4,4,5,6,3,5,"Sierra"
3,3,3,3,4,4,3,3,3,"Romeo"
4,5,4,4,4,6,6,4,4,"Romeo"
5,4,3,4,3,3,3,4,3,"Sierra"
4,1,4,4,3,5,4,5,5,"Papa"
5,4,3,3,3,3,3,3,3,"Romeo"
4,5,3,5,5,6,5,6,5,"Romeo"
3,5,4,5,4,4,5,3,2,"Sierra"
5,4,5,3,3,5,4,4,4,"Sierra"
4,4,4,3,3,3,4,4,3,"Sierra"
3,4,4,5,2,5,5,4,4,"Sierra"
4,5,3,3,4,5,5,1,3,"Romeo"
3,4,2,3,2,4,3,3,4,"Romeo"
4,4,3,2,2,3,3,3,3,"Sierra"
5,4,5,3,3,4,4,4,4,"Tango"
5,4,6,4,5,6,4,4,4,"Sierra"
2,2,5,4,3,4,5,5,2,"Sierra"
5,3,2,3,3,4,4,6,5,"Romeo"
6,4,5,3,4,7,4,4,6,"Papa"
5,5,3,3,4,5,4,3,4,"Romeo"
3,3,5,6,4,5,5,5,4,"Sierra"
5,4,5,5,5,4,4,3,3,"Romeo"
4,5,5,4,5,4,5,4,2,"Tango"
4,4,3,2,2,5,5,3,4,"Papa"
5,6,5,3,4,4,3,3,4,"Sierra"
5,5,3,4,4,5,5,3,4,"Romeo"
5,4,4,3,4,3,3,4,3,"Sierra"
4,3,6,4,5,4,4,4,4,"Sierra"
5,5,5,5,5,3,4,3,4,"Sierra"
5,4,3,3,4,5,3,4,4,"Romeo"
4,5,4,4,5,4,3,3,5,"Sierra"
7,5,5,5,5,7,5,6,6,"Romeo"
3,3,3,4,3,6,5,5,4,"Romeo"
5,5,3,4,3,4,3,3,4,"Sierra"
5,3,5,4,3,5,3,5,5,"Romeo"
5,5,4,4,3,4,4,4,5,"Romeo"
5,4,3,4,4,5,5,5,4,"Sierra"
5,5,4,4,3,5,4,5,4,"Papa"
5,4,4,5,3,4,5,4,4,"Papa"
4,4,7,5,7,5,6,4,4,"Sierra"
4,3,6,4,5,4,4,5,4,"Sierra"
4,5,5,5,3,3,5,2,3,"Sierra"
1,3,4,4,4,5,4,3,4,"Sierra"
4,3,6,5,5,5,5,5,4,"Papa"
3,3,4,3,4,3,4,1,3,"Sierra"
3,2,5,4,5,3,5,3,2,"Romeo"
5,5,4,3,4,5,5,3,4,"Romeo"
3,4,6,6,5,4,6,2,2,"Tango"
4,4,4,4,4,4,4,4,4,"Papa"
3,4,4,3,5,3,4,3,3,"Tango"
4,4,4,3,5,5,4,3,2,"Sierra"
3,4,4,4,4,2,4,2,2,"Tango"
5,3,5,4,5,4,5,3,4,"Sierra"
4,4,4,4,5,5,4,3,4,"Romeo"
3,4,3,2,3,4,3,4,4,"Romeo"
5,3,6,3,4,5,5,5,4,"Romeo"
5,4,4,4,4,4,4,5,3,"Tango"
4,3,4,4,4,4,3,2,3,"Romeo"
5,5,5,5,5,4,6,5,4,"Sierra"
4,3,4,4,5,3,4,4,3,"Romeo"
4,2,4,4,5,6,5,6,5,"Romeo"
6,3,3,3,4,5,4,4,4,"Papa"
4,3,5,4,3,4,3,4,4,"Romeo"
6,6,6,4,4,4,4,3,3,"Tango"
4,4,4,4,4,4,5,4,4,"Sierra"
4,4,5,4,6,4,4,4,4,"Sierra"
4,4,2,2,3,4,4,3,3,"Romeo"
5,2,6,4,5,4,4,5,4,"Sierra"
4,4,4,5,2,4,4,4,4,"Romeo"
5,6,5,5,3,4,4,3,4,"Papa"
4,4,5,4,4,3,5,3,4,"Sierra"
5,6,6,4,4,5,4,4,4,"Romeo"
3,5,6,3,3,4,6,5,4,"Papa"
5,3,5,4,4,5,4,4,5,"Romeo"
4,2,4,3,3,3,4,4,4,"Sierra"
5,6,4,2,4,5,5,4,4,"Tango"
2,2,4,4,5,4,6,3,3,"Sierra"
3,3,6,5,5,4,6,7,6,"Sierra"
4,4,5,4,4,2,3,4,4,"Sierra"
4,3,6,5,6,3,4,4,4,"Sierra"
4,4,4,4,3,5,4,3,4,"Romeo"
4,5,5,5,3,3,4,4,2,"Sierra"
5,6,2,4,2,4,5,5,4,"Romeo"
4,5,3,4,4,4,5,3,3,"Sierra"
4,4,3,3,3,5,1,4,4,"Sierra"
4,4,6,5,5,4,6,4,4,"Tango"
5,3,4,5,3,6,5,5,4,"Romeo"
3,2,4,3,3,4,4,2,5,"Sierra"
4,3,4,3,4,4,5,3,3,"Sierra"
4,3,4,5,2,4,5,3,4,"Papa"
4,4,2,4,3,5,3,5,4,"Sierra"
5,5,4,2,1,5,4,3,5,"Sierra"
4,4,4,3,3,4,4,3,4,"Romeo"
3,5,4,5,3,2,4,2,3,"Romeo"
5,3,4,4,4,5,4,4,5,"Romeo"
4,3,4,3,4,5,4,4,5,"Romeo"
4,3,5,4,5,5,4,4,5,"Sierra"
4,5,5,5,5,5,4,4,4,"Sierra"
3,5,4,5,4,3,2,2,2,"Sierra"
4,5,5,5,5,5,4,5,4,"Romeo"
4,3,2,4,4,4,5,4,3,"Romeo"
5,4,4,3,3,5,4,5,4,"Sierra"
5,4,4,4,3,4,3,5,3,"Romeo"
4,3,4,5,3,4,4,4,5,"Romeo"
5,5,4,5,5,6,5,4,5,"Romeo"
1,2,4,4,3,4,5,1,2,"Sierra"
5,4,4,5,3,4,4,3,3,"Sierra"
4,4,4,4,5,3,5,5,3,"Sierra"
4,3,3,6,4,5,4,5,3,"Romeo"
5,4,4,3,4,5,4,3,4,"Sierra"
6,4,4,3,5,4,5,5,4,"Romeo"
3,5,4,4,3,3,5,2,2,"Romeo"
5,4,3,3,4,6,4,5,4,"Papa"
6,4,3,3,3,4,2,4,4,"Papa"
4,5,5,3,5,2,4,2,3,"Tango"
6,4,4,3,3,5,3,4,5,"Romeo"
5,4,4,3,4,5,4,6,5,"Romeo"
3,4,3,4,3,4,4,5,5,"Papa"
5,5,6,3,4,5,5,6,4,"Sierra"
5,3,5,5,4,3,4,4,4,"Sierra"
3,3,2,3,4,6,4,4,4,"Romeo"
4,5,3,4,4,4,3,2,2,"Tango"
6,4,3,4,4,5,3,4,3,"Romeo"
5,4,4,4,5,6,4,4,6,"Romeo"
5,4,5,6,5,4,5,3,4,"Tango"
4,6,4,4,3,5,5,4,5,"Sierra"
4,4,5,5,5,2,4,3,3,"Sierra"
4,4,2,3,1,2,1,4,4,"Papa"
5,5,3,3,4,7,4,5,6,"Romeo"
3,5,5,3,4,4,4,2,3,"Sierra"
5,5,4,3,3,4,4,4,4,"Papa"
6,5,3,3,4,4,5,4,4,"Romeo"
5,4,2,4,4,5,5,4,5,"Romeo"
6,6,2,3,3,5,3,5,5,"Romeo"
3,4,5,4,4,3,4,4,3,"Sierra"
4,2,7,5,5,4,4,4,2,"Romeo"
5,5,5,5,5,3,5,3,2,"Tango"
3,5,3,5,1,4,3,4,4,"Romeo"
5,4,4,4,3,4,4,4,4,"Romeo"
4,4,4,4,2,6,5,3,3,"Sierra"
3,4,4,4,3,3,4,3,3,"Romeo"
2,3,4,5,5,5,3,3,3,"Romeo"
3,4,3,3,2,5,3,5,3,"Papa"
3,4,4,2,4,5,1,3,4,"Romeo"
3,3,3,2,3,3,3,3,3,"Papa"
7,5,4,5,4,3,6,5,4,"Sierra"
6,4,5,6,5,4,4,5,5,"Romeo"
3,3,5,5,5,5,3,3,4,"Sierra"
3,3,3,4,4,4,6,3,3,"Sierra"
4,3,3,4,5,5,4,4,3,"Romeo"
3,3,3,4,4,3,4,2,3,"Romeo"
5,5,3,4,4,3,4,3,3,"Romeo"
4,3,4,3,5,5,4,4,4,"Papa"
5,4,5,4,4,5,5,4,4,"Sierra"
4,4,5,4,2,4,3,4,3,"Romeo"
5,4,5,6,4,4,4,6,5,"Romeo"
5,2,3,3,4,7,3,4,5,"Romeo"
4,5,4,5,4,5,5,3,5,"Tango"
5,5,6,4,4,4,4,3,4,"Tango"
5,4,5,5,5,4,3,5,5,"Tango"
3,4,3,3,1,4,4,3,4,"Romeo"
3,4,5,4,5,4,4,4,4,"Romeo"
4,3,3,3,3,3,3,3,3,"Sierra"
4,4,4,3,3,3,2,3,4,"Romeo"
4,4,2,3,3,4,3,3,2,"Romeo"
5,5,5,5,4,5,5,4,5,"Romeo"
5,5,5,5,4,4,5,4,3,"Romeo"
4,6,5,4,4,3,3,3,4,"Sierra"
4,5,3,5,5,3,4,4,5,"Sierra"
3,3,5,4,6,4,4,3,5,"Sierra"
3,5,4,4,4,4,5,3,2,"Tango"
